add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,execution_time (s),Remaining_noise_budget
2,2,0,0,0,3,3,2,0.621,296
2,2,0,0,0,2,4,1,0.457,328
5,4,0,0,0,4,4,1,0.904,327
20,7,0,0,0,7,8,2,1.820,295
3,2,0,0,0,2,4,1,0.482,328
2,2,0,0,0,3,3,1,0.621,327
6,0,0,0,0,0,3,0,0.171,360
17,6,0,0,0,5,6,1,1.389,327
36,12,0,0,0,12,9,2,3.114,295
2,2,0,0,0,2,3,1,0.457,328
5,2,0,0,0,2,4,1,0.530,327
3,2,0,0,0,2,3,1,0.481,328
16,0,0,0,0,15,5,3,2.847,263
3,1,0,0,0,3,3,1,0.621,327
2,2,0,0,0,2,3,1,0.457,328
3,2,0,0,0,3,5,2,0.644,296
13,8,0,0,0,4,6,1,1.186,327
11,5,0,0,0,5,5,1,1.235,327
1,0,0,0,0,2,2,1,0.336,327
4,3,0,0,0,4,4,1,0.857,327
2,1,0,0,0,2,3,1,0.432,328
2,1,0,0,0,3,5,2,0.572,296
1,2,0,0,0,3,3,1,0.597,328
3,0,0,0,0,2,3,2,0.433,296
4,1,0,0,0,2,4,1,0.482,328
4,0,0,0,0,2,4,2,0.457,296
3,2,0,0,0,2,3,1,0.482,328
2,1,0,0,0,2,3,1,0.432,327
4,3,0,0,0,3,5,2,0.694,296
6,4,0,0,0,3,6,1,0.764,327
3,2,0,0,0,4,4,1,0.808,327
3,3,0,0,0,3,4,2,0.668,296
18,0,0,0,0,13,5,3,2.572,263
2,2,0,0,0,2,5,2,0.457,296
5,0,0,0,0,2,3,1,0.482,328
3,3,0,0,0,3,4,1,0.668,327
11,5,0,0,0,4,6,1,1.073,327
1,0,0,0,0,2,2,2,0.385,296
6,2,0,0,0,5,4,2,1.041,296
2,2,0,0,0,2,3,1,0.457,328
2,0,0,0,0,1,2,1,0.245,328
6,0,0,0,0,9,4,3,1.646,263
7,0,0,0,0,4,4,2,0.859,295
3,0,0,0,0,4,3,1,0.761,327
13,0,0,0,0,18,5,3,3.267,262
1,2,0,0,0,1,3,1,0.268,328
4,3,0,0,0,4,4,1,0.858,327
1,0,0,0,0,2,2,1,0.385,328
2,2,0,0,0,2,4,2,0.457,296
16,8,0,0,0,6,7,2,1.576,296
4,3,0,0,0,3,4,1,0.694,328
2,0,0,0,0,3,3,1,0.573,327
11,5,0,0,0,6,7,2,1.389,296
10,7,0,0,0,8,6,2,1.750,295
7,4,0,0,0,2,4,1,0.625,327
4,4,0,0,0,4,6,2,0.881,295
6,4,0,0,0,4,5,1,0.928,327
5,4,0,0,0,6,4,2,1.229,295
3,2,0,0,0,3,4,1,0.644,327
5,4,0,0,0,2,4,1,0.578,327
18,6,0,0,0,7,7,1,1.751,326
8,0,0,0,0,7,5,2,1.369,295
30,13,0,0,0,17,8,2,3.810,295
2,3,0,0,0,2,3,1,0.481,328
7,4,0,0,0,5,6,2,1.114,295
5,4,0,0,0,6,5,1,1.230,327
2,0,0,0,0,1,2,1,0.245,328
6,5,0,0,0,4,4,1,0.951,327
14,5,0,0,0,5,7,1,1.295,327
3,2,0,0,0,2,3,1,0.482,328
3,1,0,0,0,1,3,1,0.293,328
6,3,0,0,0,4,5,1,0.904,327
2,1,0,0,0,2,3,2,0.432,296
3,0,0,0,0,4,4,1,0.760,328
8,5,0,0,0,6,7,2,1.325,296
14,0,0,0,0,8,6,2,1.666,295
5,5,0,0,0,5,4,2,1.002,296
23,10,0,0,0,10,8,2,2.440,296
1,1,0,0,0,2,3,1,0.386,328
9,4,0,0,0,5,5,1,1.158,327
27,13,0,0,0,11,7,2,2.785,296
2,1,0,0,0,2,3,1,0.432,328
10,7,0,0,0,6,5,1,1.418,327
15,4,0,0,0,7,7,1,1.621,327
3,2,0,0,0,2,4,1,0.481,328
2,2,0,0,0,3,4,2,0.597,296
2,1,0,0,0,2,4,2,0.432,296
6,4,0,0,0,5,4,2,1.090,296
3,2,0,0,0,2,3,1,0.482,328
3,2,0,0,0,2,3,1,0.481,327
9,0,0,0,0,6,4,2,1.228,295
4,0,0,0,0,4,4,2,0.782,296
3,0,0,0,0,4,3,2,0.760,296
2,2,0,0,0,2,3,1,0.457,328
21,0,0,0,0,10,5,2,2.168,294
4,0,0,0,0,3,4,2,0.621,295
3,2,0,0,0,2,3,1,0.482,328
20,0,0,0,0,11,5,3,2.289,262
3,2,0,0,0,3,4,1,0.644,327
3,1,0,0,0,3,4,2,0.620,296
3,2,0,0,0,4,4,1,0.807,327
1,2,0,0,0,2,3,1,0.433,328
2,0,0,0,0,3,3,2,0.573,296
7,0,0,0,0,8,4,3,1.506,264
3,1,0,0,0,3,3,1,0.621,328
9,4,0,0,0,4,6,1,0.999,327
3,2,0,0,0,3,5,2,0.643,296
3,2,0,0,0,2,3,1,0.480,328
7,6,0,0,0,7,7,2,1.485,295
16,7,0,0,0,5,6,1,1.300,327
33,14,0,0,0,16,7,2,3.735,295
13,5,0,0,0,5,6,2,1.270,296
9,0,0,0,0,6,4,2,1.231,295
3,2,0,0,0,3,4,1,0.644,327
13,10,0,0,0,8,6,1,1.872,327
8,0,0,0,0,5,4,2,1.042,295
14,7,0,0,0,10,5,2,2.155,295
2,2,0,0,0,3,4,2,0.620,295
10,4,0,0,0,3,5,1,0.859,327
3,0,0,0,0,4,3,2,0.758,296
4,2,0,0,0,2,4,1,0.505,328
2,1,0,0,0,4,3,1,0.761,327
13,7,0,0,0,9,6,2,1.966,295
4,3,0,0,0,4,5,2,0.858,296
1,1,0,0,0,1,2,1,0.245,328
20,8,0,0,0,8,7,2,1.992,296
5,5,0,0,0,5,4,2,1.090,296
1,2,0,0,0,2,3,2,0.433,296
3,2,0,0,0,3,4,2,0.643,296
16,6,0,0,0,6,7,1,1.528,327
6,5,0,0,0,4,4,1,0.953,327
1,1,0,0,0,3,3,1,0.572,328
2,1,0,0,0,1,3,1,0.268,328
2,1,0,0,0,1,3,1,0.268,328
17,8,0,0,0,7,7,1,1.761,327
2,0,0,0,0,1,3,1,0.245,328
7,0,0,0,0,4,4,2,0.859,296
19,6,0,0,0,6,7,2,1.617,296
3,2,0,0,0,2,3,1,0.481,328
6,5,0,0,0,4,4,1,0.952,327
2,1,0,0,0,3,4,2,0.596,295
14,0,0,0,0,13,6,3,2.482,263
3,2,0,0,0,4,5,2,0.808,295
6,5,0,0,0,6,5,2,1.277,296
3,0,0,0,0,4,3,2,0.759,296
1,1,0,0,0,2,3,2,0.408,296
1,1,0,0,0,3,3,1,0.573,328
17,9,0,0,0,9,7,2,2.129,295
4,0,0,0,0,3,3,2,0.621,296
3,2,0,0,0,2,3,1,0.481,328
10,0,0,0,0,5,4,2,1.090,294
4,3,0,0,0,4,4,1,0.859,327
6,4,0,0,0,3,5,1,0.766,327
4,1,0,0,0,2,3,1,0.482,327
12,6,0,0,0,6,5,1,1.440,327
13,5,0,0,0,5,5,1,1.271,327
2,1,0,0,0,2,3,1,0.432,328
3,0,0,0,0,3,3,2,0.596,296
1,1,0,0,0,3,3,1,0.572,328
16,9,0,0,0,6,5,1,1.597,327
11,9,0,0,0,8,6,2,1.810,296
2,2,0,0,0,3,4,1,0.622,328
2,3,0,0,0,3,4,2,0.642,296
4,1,0,0,0,2,3,1,0.481,328
2,2,0,0,0,2,3,1,0.456,328
3,2,0,0,0,2,3,1,0.482,327
6,5,0,0,0,4,4,1,0.954,327
3,2,0,0,0,2,3,1,0.481,328
6,5,0,0,0,4,4,1,0.952,327
11,6,0,0,0,6,6,2,1.425,296
3,1,0,0,0,1,3,1,0.293,328
13,6,0,0,0,5,7,1,1.293,327
4,0,0,0,0,5,5,3,0.945,263
5,0,0,0,0,2,3,1,0.481,328
2,2,0,0,0,2,3,1,0.457,328
2,0,0,0,0,3,3,2,0.572,296
11,0,0,0,0,20,5,4,3.535,231
8,4,0,0,0,5,6,2,1.138,296
24,10,0,0,0,5,7,1,1.653,327
2,1,0,0,0,2,3,1,0.432,328
4,3,0,0,0,4,8,2,0.858,296
3,1,0,0,0,3,3,1,0.621,327
21,11,0,0,0,9,8,2,2.246,296
8,4,0,0,0,3,5,1,0.814,327
3,3,0,0,0,3,6,2,0.669,296
7,6,0,0,0,6,5,1,1.327,327
3,2,0,0,0,2,3,1,0.481,328
7,0,0,0,0,8,4,2,1.507,295
2,3,0,0,0,3,5,2,0.644,296
6,5,0,0,0,6,5,2,1.279,295
2,2,0,0,0,2,3,1,0.457,328
2,1,0,0,0,1,3,1,0.268,328
12,0,0,0,0,7,5,3,1.463,262
3,2,0,0,0,2,3,1,0.482,327
3,2,0,0,0,4,5,2,0.806,296
17,7,0,0,0,6,7,2,1.574,296
6,2,0,0,0,7,5,2,1.371,296
2,1,0,0,0,1,3,1,0.268,328
3,2,0,0,0,2,3,1,0.481,328
14,3,0,0,0,5,7,1,1.256,327
20,8,0,0,0,10,7,2,2.325,296
13,10,0,0,0,10,6,2,2.197,295
15,7,0,0,0,5,6,1,1.365,327
3,2,0,0,0,3,5,2,0.644,296
3,3,0,0,0,3,5,1,0.667,327
2,1,0,0,0,2,3,1,0.433,328
13,4,0,0,0,4,7,2,1.096,296
2,0,0,0,0,3,3,2,0.572,296
1,1,0,0,0,1,2,1,0.245,328
1,1,0,0,0,1,2,1,0.245,328
6,5,0,0,0,4,4,1,0.951,327
13,5,0,0,0,5,7,2,1.279,296
8,0,0,0,0,3,4,1,0.717,327
9,6,0,0,0,5,6,2,1.209,296
2,1,0,0,0,4,3,2,0.758,296
1,2,0,0,0,2,3,1,0.432,328
3,2,0,0,0,2,3,1,0.481,328
9,4,0,0,0,4,5,1,1.000,327
2,0,0,0,0,2,3,2,0.407,296
2,2,0,0,0,2,3,1,0.456,327
5,2,0,0,0,2,4,1,0.530,328
14,7,0,0,0,4,5,1,1.192,327
5,3,0,0,0,4,4,1,0.880,327
2,2,0,0,0,2,3,1,0.456,328
2,0,0,0,0,2,3,1,0.408,328
9,0,0,0,0,6,4,2,1.230,295
6,5,0,0,0,4,4,1,0.953,327
3,1,0,0,0,3,4,2,0.619,295
30,8,0,0,0,10,8,1,2.558,326
41,0,0,0,0,16,8,2,3.622,294
3,2,0,0,0,2,3,1,0.482,328
6,5,0,0,0,4,5,1,0.951,327
2,0,0,0,0,3,3,2,0.572,296
5,0,0,0,0,10,4,4,1.788,231
1,0,0,0,0,2,2,1,0.336,327
8,0,0,0,0,11,5,3,2.022,263
8,4,0,0,0,3,6,1,0.813,327
9,5,0,0,0,4,6,1,1.018,327
2,2,0,0,0,3,4,2,0.622,296
7,6,0,0,0,5,5,1,1.157,327
2,1,0,0,0,2,4,1,0.433,328
4,3,0,0,0,2,4,1,0.529,328
6,4,0,0,0,6,6,2,1.255,295
1,0,0,0,0,2,2,1,0.336,327
2,0,0,0,0,5,3,2,0.899,295
15,0,0,0,0,3,6,1,0.885,327
3,2,0,0,0,2,4,1,0.482,328
9,0,0,0,0,6,4,2,1.231,295
3,3,0,0,0,3,5,1,0.669,327
9,4,0,0,0,4,6,1,0.998,327
3,3,0,0,0,3,5,1,0.669,328
10,0,0,0,0,5,4,2,1.089,295
20,8,0,0,0,6,8,2,1.667,297
3,0,0,0,0,2,3,2,0.433,296
8,0,0,0,0,7,4,2,1.369,295
6,0,0,0,0,9,4,3,1.647,263
2,1,0,0,0,2,3,2,0.432,296
13,8,0,0,0,8,7,2,1.826,296
22,5,0,0,0,6,9,2,1.644,296
3,0,0,0,0,4,3,1,0.760,327
10,5,0,0,0,8,5,1,1.694,327
1,1,0,0,0,2,3,2,0.408,296
7,5,0,0,0,5,5,2,1.139,296
7,0,0,0,0,4,4,2,0.857,295
2,2,0,0,0,2,5,2,0.457,296
4,3,0,0,0,4,4,1,0.858,327
2,2,0,0,0,1,3,1,0.293,328
1,1,0,0,0,1,2,1,0.245,328
11,10,0,0,0,10,5,2,2.149,294
5,0,0,0,0,4,4,2,0.809,296
3,2,0,0,0,2,4,1,0.480,328
3,3,0,0,0,2,4,1,0.505,327
2,1,0,0,0,2,3,1,0.432,328
